=== ЭКСПОРТ ДКП | 10.06.2026 22:21:05 ===
Диапазон мест: с 1 по 1027
Всего игроков: 1027
========================================================================================================================

Ник: Joker不屈01 | Убийства T4: 12 977 487 | Убийства T5: 8 249 828 | Всего убийств (T4+T5): 21 227 315 | Смерти T4: 0 | Смерти T5: 518 003 | Всего смертей (T4+T5): 518 003 | Вылечено:  | ДКП: 310 311 520
Ник: VegeTa 不屈01 | Убийства T4: 4 759 887 | Убийства T5: 1 618 845 | Всего убийств (T4+T5): 6 378 732 | Смерти T4: 0 | Смерти T5: 1 419 380 | Всего смертей (T4+T5): 1 419 380 | Вылечено:  | ДКП: 122 557 170
Ник: CôngAn不屈01 | Убийства T4: 6 970 058 | Убийства T5: 2 328 013 | Всего убийств (T4+T5): 9 298 071 | Смерти T4: 170 869 | Смерти T5: 10 464 | Всего смертей (T4+T5): 181 333 | Вылечено:  | ДКП: 121 700 830
Ник: Sparkメ不屈01 | Убийства T4: 5 253 477 | Убийства T5: 2 847 299 | Всего убийств (T4+T5): 8 100 776 | Смерти T4: 157 420 | Смерти T5: 24 280 | Всего смертей (T4+T5): 181 700 | Вылечено:  | ДКП: 114 931 750
Ник: RIP 不屈01 | Убийства T4: 5 470 098 | Убийства T5: 2 819 762 | Всего убийств (T4+T5): 8 289 860 | Смерти T4: 17 837 | Смерти T5: 0 | Всего смертей (T4+T5): 17 837 | Вылечено:  | ДКП: 111 631 330
Ник: Tn Lie 不屈01 | Убийства T4: 6 212 002 | Убийства T5: 1 113 359 | Всего убийств (T4+T5): 7 325 361 | Смерти T4: 50 212 | Смерти T5: 754 249 | Всего смертей (T4+T5): 804 461 | Вылечено:  | ДКП: 108 521 030
Ник: ᴰˢЛютик | Убийства T4: 3 647 551 | Убийства T5: 1 896 091 | Всего убийств (T4+T5): 5 543 642 | Смерти T4: 138 745 | Смерти T5: 881 006 | Всего смертей (T4+T5): 1 019 751 | Вылечено:  | ДКП: 104 989 860
Ник: Sunday不屈01 | Убийства T4: 5 506 501 | Убийства T5: 2 027 531 | Всего убийств (T4+T5): 7 534 032 | Смерти T4: 311 459 | Смерти T5: 0 | Всего смертей (T4+T5): 311 459 | Вылечено:  | ДКП: 104 959 400
Ник: Harley不屈01 | Убийства T4: 6 607 165 | Убийства T5: 1 608 301 | Всего убийств (T4+T5): 8 215 466 | Смерти T4: 15 803 | Смерти T5: 114 143 | Всего смертей (T4+T5): 129 946 | Вылечено:  | ДКП: 102 136 050
Ник: shmafik不屈01 | Убийства T4: 3 256 720 | Убийства T5: 3 304 874 | Всего убийств (T4+T5): 6 561 594 | Смерти T4: 95 168 | Смерти T5: 0 | Всего смертей (T4+T5): 95 168 | Вылечено:  | ДКП: 101 519 720
Ник: SL 1998不屈01 | Убийства T4: 5 174 907 | Убийства T5: 1 838 345 | Всего убийств (T4+T5): 7 013 252 | Смерти T4: 141 174 | Смерти T5: 0 | Всего смертей (T4+T5): 141 174 | Вылечено:  | ДКП: 92 751 190
Ник: 不屈01 Vadim | Убийства T4: 2 698 289 | Убийства T5: 2 390 182 | Всего убийств (T4+T5): 5 088 471 | Смерти T4: 500 137 | Смерти T5: 19 742 | Всего смертей (T4+T5): 519 879 | Вылечено:  | ДКП: 90 382 900
Ник: NoLik 不屈01 | Убийства T4: 4 865 902 | Убийства T5: 1 486 290 | Всего убийств (T4+T5): 6 352 192 | Смерти T4: 330 653 | Смерти T5: 14 842 | Всего смертей (T4+T5): 345 495 | Вылечено:  | ДКП: 88 749 670
Ник: Eisenh不屈01 | Убийства T4: 3 665 675 | Убийства T5: 1 417 948 | Всего убийств (T4+T5): 5 083 623 | Смерти T4: 705 697 | Смерти T5: 0 | Всего смертей (T4+T5): 705 697 | Вылечено:  | ДКП: 86 186 620
Ник: Antonio Montana | Убийства T4: 4 767 890 | Убийства T5: 902 244 | Всего убийств (T4+T5): 5 670 134 | Смерти T4: 619 530 | Смерти T5: 0 | Всего смертей (T4+T5): 619 530 | Вылечено:  | ДКП: 84 309 680
Ник: Apell 不屈01 | Убийства T4: 4 210 926 | Убийства T5: 1 984 706 | Всего убийств (T4+T5): 6 195 632 | Смерти T4: 0 | Смерти T5: 76 091 | Всего смертей (T4+T5): 76 091 | Вылечено:  | ДКП: 84 086 110
Ник: KACTA 不屈01 | Убийства T4: 5 688 881 | Убийства T5: 1 142 948 | Всего убийств (T4+T5): 6 831 829 | Смерти T4: 33 054 | Смерти T5: 9 602 | Всего смертей (T4+T5): 42 656 | Вылечено:  | ДКП: 81 027 450
Ник: LawZ 不屈01 | Убийства T4: 4 146 669 | Убийства T5: 1 566 596 | Всего убийств (T4+T5): 5 713 265 | Смерти T4: 129 039 | Смерти T5: 0 | Всего смертей (T4+T5): 129 039 | Вылечено:  | ДКП: 76 669 780
Ник: SHADOW不屈01 | Убийства T4: 4 245 453 | Убийства T5: 734 336 | Всего убийств (T4+T5): 4 979 789 | Смерти T4: 620 704 | Смерти T5: 0 | Всего смертей (T4+T5): 620 704 | Вылечено:  | ДКП: 75 762 370
Ник: Chefˣ不屈01 | Убийства T4: 4 507 313 | Убийства T5: 880 211 | Всего убийств (T4+T5): 5 387 524 | Смерти T4: 398 013 | Смерти T5: 0 | Всего смертей (T4+T5): 398 013 | Вылечено:  | ДКП: 74 617 740
Ник: bumbl 不屈01 | Убийства T4: 3 162 617 | Убийства T5: 1 662 982 | Всего убийств (T4+T5): 4 825 599 | Смерти T4: 0 | Смерти T5: 288 285 | Всего смертей (T4+T5): 288 285 | Вылечено:  | ДКП: 73 534 360
Ник: HAN 不屈01 | Убийства T4: 5 276 671 | Убийства T5: 391 180 | Всего убийств (T4+T5): 5 667 851 | Смерти T4: 380 411 | Смерти T5: 0 | Всего смертей (T4+T5): 380 411 | Вылечено:  | ДКП: 72 002 640
Ник: Ata不屈01 | Убийства T4: 4 466 407 | Убийства T5: 747 573 | Всего убийств (T4+T5): 5 213 980 | Смерти T4: 395 773 | Смерти T5: 0 | Всего смертей (T4+T5): 395 773 | Вылечено:  | ДКП: 71 488 720
Ник: Davies不屈01 | Убийства T4: 3 106 982 | Убийства T5: 1 172 277 | Всего убийств (T4+T5): 4 279 259 | Смерти T4: 490 842 | Смерти T5: 62 164 | Всего смертей (T4+T5): 553 006 | Вылечено:  | ДКП: 71 105 540
Ник: RDT 不屈01 | Убийства T4: 2 640 585 | Убийства T5: 1 173 708 | Всего убийств (T4+T5): 3 814 293 | Смерти T4: 568 114 | Смерти T5: 19 427 | Всего смертей (T4+T5): 587 541 | Вылечено:  | ДКП: 67 506 240
Ник: Haggard不屈01 | Убийства T4: 3 399 199 | Убийства T5: 1 313 097 | Всего убийств (T4+T5): 4 712 296 | Смерти T4: 225 332 | Смерти T5: 1 421 | Всего смертей (T4+T5): 226 753 | Вылечено:  | ДКП: 67 056 520
Ник: BURNING不屈01 | Убийства T4: 2 892 033 | Убийства T5: 1 349 041 | Всего убийств (T4+T5): 4 241 074 | Смерти T4: 303 907 | Смерти T5: 0 | Всего смертей (T4+T5): 303 907 | Вылечено:  | ДКП: 65 018 360
Ник: 不屈01 Moqoy | Убийства T4: 2 663 184 | Убийства T5: 1 127 910 | Всего убийств (T4+T5): 3 791 094 | Смерти T4: 72 302 | Смерти T5: 408 610 | Всего смертей (T4+T5): 480 912 | Вылечено:  | ДКП: 63 617 400
Ник: BlckRetriever | Убийства T4: 2 358 033 | Убийства T5: 831 225 | Всего убийств (T4+T5): 3 189 258 | Смерти T4: 773 073 | Смерти T5: 0 | Всего смертей (T4+T5): 773 073 | Вылечено:  | ДКП: 63 397 020
Ник: Filimon不屈01 | Убийства T4: 3 130 541 | Убийства T5: 667 532 | Всего убийств (T4+T5): 3 798 073 | Смерти T4: 518 171 | Смерти T5: 0 | Всего смертей (T4+T5): 518 171 | Вылечено:  | ДКП: 60 201 180
Ник: Aeolus 不屈01 | Убийства T4: 3 357 289 | Убийства T5: 730 476 | Всего убийств (T4+T5): 4 087 765 | Смерти T4: 381 680 | Смерти T5: 0 | Всего смертей (T4+T5): 381 680 | Вылечено:  | ДКП: 59 632 810
Ник: Bi   不屈01 | Убийства T4: 2 640 301 | Убийства T5: 755 656 | Всего убийств (T4+T5): 3 395 957 | Смерти T4: 519 395 | Смерти T5: 0 | Всего смертей (T4+T5): 519 395 | Вылечено:  | ДКП: 57 097 980
Ник: Raise 不屈01 | Убийства T4: 2 540 683 | Убийства T5: 1 152 126 | Всего убийств (T4+T5): 3 692 809 | Смерти T4: 194 319 | Смерти T5: 0 | Всего смертей (T4+T5): 194 319 | Вылечено:  | ДКП: 54 278 920
Ник: ennie不屈01 | Убийства T4: 3 297 269 | Убийства T5: 824 233 | Всего убийств (T4+T5): 4 121 502 | Смерти T4: 159 763 | Смерти T5: 0 | Всего смертей (T4+T5): 159 763 | Вылечено:  | ДКП: 54 250 240
Ник: Godzila不屈01 | Убийства T4: 2 388 989 | Убийства T5: 774 269 | Всего убийств (T4+T5): 3 163 258 | Смерти T4: 391 326 | Смерти T5: 90 735 | Всего смертей (T4+T5): 482 061 | Вылечено:  | ДКП: 53 837 100
Ник: miracle911 | Убийства T4: 2 657 895 | Убийства T5: 984 020 | Всего убийств (T4+T5): 3 641 915 | Смерти T4: 186 508 | Смерти T5: 0 | Всего смертей (T4+T5): 186 508 | Вылечено:  | ДКП: 51 854 590
Ник: Rokkki 不屈01 | Убийства T4: 2 599 317 | Убийства T5: 571 962 | Всего убийств (T4+T5): 3 171 279 | Смерти T4: 404 617 | Смерти T5: 45 247 | Всего смертей (T4+T5): 449 864 | Вылечено:  | ДКП: 50 928 330
Ник: Denis23不屈01 | Убийства T4: 2 396 989 | Убийства T5: 301 037 | Всего убийств (T4+T5): 2 698 026 | Смерти T4: 645 295 | Смерти T5: 0 | Всего смертей (T4+T5): 645 295 | Вылечено:  | ДКП: 49 349 480
Ник: UIA 不屈01 | Убийства T4: 2 078 936 | Убийства T5: 970 192 | Всего убийств (T4+T5): 3 049 128 | Смерти T4: 251 328 | Смерти T5: 0 | Всего смертей (T4+T5): 251 328 | Вылечено:  | ДКП: 47 733 040
Ник: Baldwin不屈01 | Убийства T4: 2 306 655 | Убийства T5: 671 770 | Всего убийств (T4+T5): 2 978 425 | Смерти T4: 18 393 | Смерти T5: 295 194 | Всего смертей (T4+T5): 313 587 | Вылечено:  | ДКП: 45 909 560
Ник: Dasvidos | Убийства T4: 2 904 835 | Убийства T5: 501 854 | Всего убийств (T4+T5): 3 406 689 | Смерти T4: 182 761 | Смерти T5: 5 761 | Всего смертей (T4+T5): 188 522 | Вылечено:  | ДКП: 44 741 090
Ник: Âsh 不屈01 | Убийства T4: 1 935 668 | Убийства T5: 753 007 | Всего убийств (T4+T5): 2 688 675 | Смерти T4: 322 083 | Смерти T5: 0 | Всего смертей (T4+T5): 322 083 | Вылечено:  | ДКП: 44 079 310
Ник: Asya不屈01 | Убийства T4: 1 956 162 | Убийства T5: 563 732 | Всего убийств (T4+T5): 2 519 894 | Смерти T4: 425 671 | Смерти T5: 0 | Всего смертей (T4+T5): 425 671 | Вылечено:  | ДКП: 43 606 390
Ник: Raflyn不屈01 | Убийства T4: 1 874 138 | Убийства T5: 959 158 | Всего убийств (T4+T5): 2 833 296 | Смерти T4: 128 276 | Смерти T5: 0 | Всего смертей (T4+T5): 128 276 | Вылечено:  | ДКП: 41 772 820
Ник: Khuga 不屈01 | Убийства T4: 1 875 638 | Убийства T5: 961 882 | Всего убийств (T4+T5): 2 837 520 | Смерти T4: 121 222 | Смерти T5: 0 | Всего смертей (T4+T5): 121 222 | Вылечено:  | ДКП: 41 630 680
Ник: Kerji不屈01 | Убийства T4: 3 170 001 | Убийства T5: 461 662 | Всего убийств (T4+T5): 3 631 663 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 40 933 250
Ник: Andreev不屈01 | Убийства T4: 1 789 540 | Убийства T5: 808 321 | Всего убийств (T4+T5): 2 597 861 | Смерти T4: 196 928 | Смерти T5: 17 368 | Всего смертей (T4+T5): 214 296 | Вылечено:  | ДКП: 40 490 700
Ник: ᴹᴿ不屈01 | Убийства T4: 1 221 241 | Убийства T5: 617 520 | Всего убийств (T4+T5): 1 838 761 | Смерти T4: 509 122 | Смерти T5: 0 | Всего смертей (T4+T5): 509 122 | Вылечено:  | ДКП: 39 836 470
Ник: Yarilo 不屈01 | Убийства T4: 1 859 097 | Убийства T5: 745 280 | Всего убийств (T4+T5): 2 604 377 | Смерти T4: 198 500 | Смерти T5: 0 | Всего смертей (T4+T5): 198 500 | Вылечено:  | ДКП: 39 451 570
Ник: FC 不屈 01 | Убийства T4: 1 943 279 | Убийства T5: 470 293 | Всего убийств (T4+T5): 2 413 572 | Смерти T4: 291 727 | Смерти T5: 46 829 | Всего смертей (T4+T5): 338 556 | Вылечено:  | ДКП: 38 995 330
Ник: Stormy不屈01 | Убийства T4: 1 794 419 | Убийства T5: 906 749 | Всего убийств (T4+T5): 2 701 168 | Смерти T4: 0 | Смерти T5: 33 658 | Всего смертей (T4+T5): 33 658 | Вылечено:  | ДКП: 37 088 910
Ник: WhyMee 不屈01 | Убийства T4: 1 433 220 | Убийства T5: 273 363 | Всего убийств (T4+T5): 1 706 583 | Смерти T4: 570 859 | Смерти T5: 0 | Всего смертей (T4+T5): 570 859 | Вылечено:  | ДКП: 36 925 230
Ник: Łiš 不屈01 | Убийства T4: 967 750 | Убийства T5: 425 190 | Всего убийств (T4+T5): 1 392 940 | Смерти T4: 624 183 | Смерти T5: 0 | Всего смертей (T4+T5): 624 183 | Вылечено:  | ДКП: 36 906 790
Ник: Ðraven不屈01 | Убийства T4: 1 264 544 | Убийства T5: 472 703 | Всего убийств (T4+T5): 1 737 247 | Смерти T4: 397 633 | Смерти T5: 0 | Всего смертей (T4+T5): 397 633 | Вылечено:  | ДКП: 34 028 490
Ник: Rado不屈01 | Убийства T4: 1 507 368 | Убийства T5: 710 682 | Всего убийств (T4+T5): 2 218 050 | Смерти T4: 156 086 | Смерти T5: 0 | Всего смертей (T4+T5): 156 086 | Вылечено:  | ДКП: 33 969 900
Ник: Geo 不屈01 | Убийства T4: 1 532 077 | Убийства T5: 723 098 | Всего убийств (T4+T5): 2 255 175 | Смерти T4: 0 | Смерти T5: 126 012 | Всего смертей (T4+T5): 126 012 | Вылечено:  | ДКП: 33 563 090
Ник: EDİ不屈01 | Убийства T4: 2 514 452 | Убийства T5: 203 553 | Всего убийств (T4+T5): 2 718 005 | Смерти T4: 138 518 | Смерти T5: 0 | Всего смертей (T4+T5): 138 518 | Вылечено:  | ДКП: 33 371 120
Ник: Ivan 不屈01 | Убийства T4: 1 147 977 | Убийства T5: 367 580 | Всего убийств (T4+T5): 1 515 557 | Смерти T4: 457 116 | Смерти T5: 0 | Всего смертей (T4+T5): 457 116 | Вылечено:  | ДКП: 32 544 850
Ник: JaviEc不屈01 | Убийства T4: 769 421 | Убийства T5: 211 459 | Всего убийств (T4+T5): 980 880 | Смерти T4: 627 499 | Смерти T5: 0 | Всего смертей (T4+T5): 627 499 | Вылечено:  | ДКП: 30 748 360
Ник: ANGEL 不屈01 | Убийства T4: 1 190 090 | Убийства T5: 307 624 | Всего убийств (T4+T5): 1 497 714 | Смерти T4: 416 083 | Смерти T5: 0 | Всего смертей (T4+T5): 416 083 | Вылечено:  | ДКП: 30 535 870
Ник: ᶫSLIOTE | Убийства T4: 1 645 864 | Убийства T5: 464 607 | Всего убийств (T4+T5): 2 110 471 | Смерти T4: 63 722 | Смерти T5: 87 379 | Всего смертей (T4+T5): 151 101 | Вылечено:  | ДКП: 30 283 810
Ник: Revenor不屈01 | Убийства T4: 2 078 183 | Убийства T5: 261 229 | Всего убийств (T4+T5): 2 339 412 | Смерти T4: 123 714 | Смерти T5: 0 | Всего смертей (T4+T5): 123 714 | Вылечено:  | ДКП: 29 717 830
Ник: KanekiI不屈01 | Убийства T4: 1 063 510 | Убийства T5: 273 871 | Всего убийств (T4+T5): 1 337 381 | Смерти T4: 440 995 | Смерти T5: 0 | Всего смертей (T4+T5): 440 995 | Вылечено:  | ДКП: 29 342 370
Ник: Beef不屈01 | Убийства T4: 1 560 151 | Убийства T5: 167 433 | Всего убийств (T4+T5): 1 727 584 | Смерти T4: 343 755 | Смерти T5: 0 | Всего смертей (T4+T5): 343 755 | Вылечено:  | ДКП: 29 262 820
Ник: Solntse不屈01 | Убийства T4: 1 152 798 | Убийства T5: 656 765 | Всего убийств (T4+T5): 1 809 563 | Смерти T4: 0 | Смерти T5: 150 974 | Всего смертей (T4+T5): 150 974 | Вылечено:  | ДКП: 29 192 500
Ник: Maks不屈01 | Убийства T4: 1 060 938 | Убийства T5: 292 648 | Всего убийств (T4+T5): 1 353 586 | Смерти T4: 415 246 | Смерти T5: 0 | Всего смертей (T4+T5): 415 246 | Вылечено:  | ДКП: 28 919 720
Ник: miniWDR不屈01 | Убийства T4: 775 663 | Убийства T5: 296 904 | Всего убийств (T4+T5): 1 072 567 | Смерти T4: 483 422 | Смерти T5: 0 | Всего смертей (T4+T5): 483 422 | Вылечено:  | ДКП: 28 197 370
Ник: EmreOpt不屈01 | Убийства T4: 1 255 214 | Убийства T5: 477 361 | Всего убийств (T4+T5): 1 732 575 | Смерти T4: 197 353 | Смерти T5: 0 | Всего смертей (T4+T5): 197 353 | Вылечено:  | ДКП: 28 019 950
Ник: ota 不屈01 | Убийства T4: 1 073 486 | Убийства T5: 325 080 | Всего убийств (T4+T5): 1 398 566 | Смерти T4: 353 136 | Смерти T5: 0 | Всего смертей (T4+T5): 353 136 | Вылечено:  | ДКП: 27 830 540
Ник: ORCA 不屈01 | Убийства T4: 1 353 806 | Убийства T5: 498 729 | Всего убийств (T4+T5): 1 852 535 | Смерти T4: 133 012 | Смерти T5: 0 | Всего смертей (T4+T5): 133 012 | Вылечено:  | ДКП: 27 503 000
Ник: Paryss不屈01 | Убийства T4: 646 745 | Убийства T5: 236 162 | Всего убийств (T4+T5): 882 907 | Смерти T4: 533 949 | Смерти T5: 0 | Всего смертей (T4+T5): 533 949 | Вылечено:  | ДКП: 27 209 160
Ник: Ragnar 不屈01 | Убийства T4: 974 065 | Убийства T5: 335 483 | Всего убийств (T4+T5): 1 309 548 | Смерти T4: 358 579 | Смерти T5: 0 | Всего смертей (T4+T5): 358 579 | Вылечено:  | ДКП: 27 207 680
Ник: Camorra不屈01 | Убийства T4: 1 714 066 | Убийства T5: 231 977 | Всего убийств (T4+T5): 1 946 043 | Смерти T4: 171 021 | Смерти T5: 4 217 | Всего смертей (T4+T5): 175 238 | Вылечено:  | ДКП: 27 037 340
Ник: Heart不屈01 | Убийства T4: 1 377 604 | Убийства T5: 413 145 | Всего убийств (T4+T5): 1 790 749 | Смерти T4: 9 102 | Смерти T5: 154 234 | Всего смертей (T4+T5): 163 336 | Вылечено:  | ДКП: 26 939 020
Ник: GMonWon不屈01 | Убийства T4: 680 672 | Убийства T5: 267 114 | Всего убийств (T4+T5): 947 786 | Смерти T4: 486 006 | Смерти T5: 0 | Всего смертей (T4+T5): 486 006 | Вылечено:  | ДКП: 26 729 180
Ник: Toji  不屈01 | Убийства T4: 932 567 | Убийства T5: 374 054 | Всего убийств (T4+T5): 1 306 621 | Смерти T4: 301 471 | Смерти T5: 0 | Всего смертей (T4+T5): 301 471 | Вылечено:  | ДКП: 25 850 880
Ник: Drogon 不屈01 | Убийства T4: 1 332 693 | Убийства T5: 571 133 | Всего убийств (T4+T5): 1 903 826 | Смерти T4: 29 797 | Смерти T5: 0 | Всего смертей (T4+T5): 29 797 | Вылечено:  | ДКП: 25 643 500
Ник: York 不屈01 | Убийства T4: 785 575 | Убийства T5: 113 521 | Всего убийств (T4+T5): 899 096 | Смерти T4: 502 662 | Смерти T5: 0 | Всего смертей (T4+T5): 502 662 | Вылечено:  | ДКП: 25 206 030
Ник: RaZhul不屈01 | Убийства T4: 853 455 | Убийства T5: 138 369 | Всего убийств (T4+T5): 991 824 | Смерти T4: 462 491 | Смерти T5: 0 | Всего смертей (T4+T5): 462 491 | Вылечено:  | ДКП: 25 176 660
Ник: Breezey不屈01 | Убийства T4: 1 156 566 | Убийства T5: 433 717 | Всего убийств (T4+T5): 1 590 283 | Смерти T4: 23 357 | Смерти T5: 125 498 | Всего смертей (T4+T5): 148 855 | Вылечено:  | ДКП: 24 705 650
Ник: Latias 不屈01 | Убийства T4: 969 504 | Убийства T5: 424 704 | Всего убийств (T4+T5): 1 394 208 | Смерти T4: 175 262 | Смерти T5: 0 | Всего смертей (T4+T5): 175 262 | Вылечено:  | ДКП: 23 446 980
Ник: Đức 不屈01 | Убийства T4: 1 136 872 | Убийства T5: 410 625 | Всего убийств (T4+T5): 1 547 497 | Смерти T4: 113 396 | Смерти T5: 0 | Всего смертей (T4+T5): 113 396 | Вылечено:  | ДКП: 22 983 100
Ник: DubasiK不屈01 | Убийства T4: 845 451 | Убийства T5: 90 133 | Всего убийств (T4+T5): 935 584 | Смерти T4: 422 069 | Смерти T5: 0 | Всего смертей (T4+T5): 422 069 | Вылечено:  | ДКП: 22 919 240
Ник: Lan不屈01 | Убийства T4: 1 241 141 | Убийства T5: 482 204 | Всего убийств (T4+T5): 1 723 345 | Смерти T4: 23 703 | Смерти T5: 0 | Всего смертей (T4+T5): 23 703 | Вылечено:  | ДКП: 22 766 580
Ник: ᴱᵛᵃ | Убийства T4: 1 497 764 | Убийства T5: 376 895 | Всего убийств (T4+T5): 1 874 659 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 22 515 540
Ник: Haibuj | Убийства T4: 745 827 | Убийства T5: 432 458 | Всего убийств (T4+T5): 1 178 285 | Смерти T4: 186 246 | Смерти T5: 0 | Всего смертей (T4+T5): 186 246 | Вылечено:  | ДКП: 21 694 810
Ник: Storm13不屈01 | Убийства T4: 523 030 | Убийства T5: 203 988 | Всего убийств (T4+T5): 727 018 | Смерти T4: 397 882 | Смерти T5: 0 | Всего смертей (T4+T5): 397 882 | Вылечено:  | ДКП: 21 246 520
Ник: Coffy 不屈01 | Убийства T4: 499 596 | Убийства T5: 151 599 | Всего убийств (T4+T5): 651 195 | Смерти T4: 428 035 | Смерти T5: 0 | Всего смертей (T4+T5): 428 035 | Вылечено:  | ДКП: 20 868 990
Ник: Èrebo不屈01 | Убийства T4: 1 457 067 | Убийства T5: 299 398 | Всего убийств (T4+T5): 1 756 465 | Смерти T4: 6 481 | Смерти T5: 0 | Всего смертей (T4+T5): 6 481 | Вылечено:  | ДКП: 20 753 060
Ник: Beerus 不屈01 | Убийства T4: 124 702 | Убийства T5: 23 750 | Всего убийств (T4+T5): 148 452 | Смерти T4: 590 752 | Смерти T5: 0 | Всего смертей (T4+T5): 590 752 | Вылечено:  | ДКП: 19 444 580
Ник: 不屈01ElCari | Убийства T4: 606 375 | Убийства T5: 368 808 | Всего убийств (T4+T5): 975 183 | Смерти T4: 192 969 | Смерти T5: 0 | Всего смертей (T4+T5): 192 969 | Вылечено:  | ДКП: 19 228 980
Ник: MOツALI | Убийства T4: 370 114 | Убийства T5: 172 788 | Всего убийств (T4+T5): 542 902 | Смерти T4: 367 975 | Смерти T5: 0 | Всего смертей (T4+T5): 367 975 | Вылечено:  | ДКП: 18 196 150
Ник: 不屈01 ANTIK | Убийства T4: 551 119 | Убийства T5: 179 939 | Всего убийств (T4+T5): 731 058 | Смерти T4: 283 005 | Смерти T5: 0 | Всего смертей (T4+T5): 283 005 | Вылечено:  | ДКП: 17 600 120
Ник: Heo不屈01 | Убийства T4: 744 115 | Убийства T5: 324 000 | Всего убийств (T4+T5): 1 068 115 | Смерти T4: 112 095 | Смерти T5: 0 | Всего смертей (T4+T5): 112 095 | Вылечено:  | ДКП: 17 284 000
Ник: Wojstaz不屈01 | Убийства T4: 642 890 | Убийства T5: 76 311 | Всего убийств (T4+T5): 719 201 | Смерти T4: 302 006 | Смерти T5: 0 | Всего смертей (T4+T5): 302 006 | Вылечено:  | ДКП: 17 015 300
Ник: Abi 不屈01 | Убийства T4: 916 236 | Убийства T5: 134 553 | Всего убийств (T4+T5): 1 050 789 | Смерти T4: 158 800 | Смерти T5: 0 | Всего смертей (T4+T5): 158 800 | Вылечено:  | ДКП: 16 617 420
Ник: 不屈01 Cas | Убийства T4: 797 266 | Убийства T5: 77 022 | Всего убийств (T4+T5): 874 288 | Смерти T4: 235 518 | Смерти T5: 0 | Всего смертей (T4+T5): 235 518 | Вылечено:  | ДКП: 16 578 640
Ник: 不屈01 VESTOS | Убийства T4: 742 833 | Убийства T5: 450 411 | Всего убийств (T4+T5): 1 193 244 | Смерти T4: 313 | Смерти T5: 0 | Всего смертей (T4+T5): 313 | Вылечено:  | ДКП: 16 445 940
